City,County,School District,Scope,Category,Notes,Feed Name,Feed Format,Valid,Status Code,Feed URL
Redmond,King,Lake Washington School District,city,Municipal RSS,Direct RSS Feed (/RSSFeed.aspx?ModID=1&MainCatID=1),Redmond RSS Feed,rss,Yes,200,https://www.redmond.gov/RSSFeed.aspx?ModID=1&MainCatID=1
Redmond,King,Lake Washington School District,city,Community Events,Direct RSS Feed (/RSSFeed.aspx?ModID=58&MainCatID=1),Redmond RSS Feed,rss,Yes,200,https://www.redmond.gov/RSSFeed.aspx?ModID=58&MainCatID=1
Seattle,King,Seattle Public Schools,city,Video Stream,Discovered Seattle Channel PEG Broadcast,Seattle Channel Municipal Stream,external_link,Yes,200,https://www.seattlechannel.org
Seattle,King,Seattle Public Schools,city,City Council,Targeted Override (LEGISTAR),Seattle Official Legistar Portal,legistar,Yes,200,https://seattle.legistar.com/Calendar.aspx
Seattle,King,Seattle Public Schools,city,News Feed,Scraped RSS via /council,Seattle RSS Feed,rss,Yes,200,https://council.seattle.gov/category/news-releases/feed/
Seattle,King,Seattle Public Schools,city,News Feed,Scraped RSS via /news,Seattle RSS Feed,rss,Yes,200,https://news.seattle.gov/comments/feed/
Seattle,King,Seattle Public Schools,city,News Feed,Scraped RSS via /news,Seattle RSS Feed,rss,Yes,200,https://news.seattle.gov/feed/
Seattle,King,Seattle Public Schools,school,Municipal RSS,Scraped RSS via homepage,Seattle Public Schools RSS Feed,rss,Yes,200,https://www.seattleschools.org/comments/feed/
Seattle,King,Seattle Public Schools,school,Municipal RSS,Scraped RSS via /events,Seattle Public Schools RSS Feed,rss,Yes,200,https://www.seattleschools.org/events/feed/
Seattle,King,Seattle Public Schools,school,Municipal RSS,Scraped RSS via homepage,Seattle Public Schools RSS Feed,rss,Yes,200,https://www.seattleschools.org/feed/
Seattle,King,Seattle Public Schools,school,News Feed,Scraped RSS via /news,Seattle Public Schools RSS Feed,rss,Yes,200,https://www.seattleschools.org/news/feed/
Snoqualmie,King,Snoqualmie Valley School District,city,City Council,Discovered CivicClerk Meeting Portal,Snoqualmie CivicClerk Portal,external_link,Yes,200,https://snoqualmiewa.civicclerk.com
Snoqualmie,King,Snoqualmie Valley School District,city,Municipal RSS,Direct RSS Feed (/RSSFeed.aspx?ModID=1&MainCatID=1),Snoqualmie RSS Feed,rss,Yes,200,https://www.snoqualmiewa.gov/RSSFeed.aspx?ModID=1&MainCatID=1
Snoqualmie,King,Snoqualmie Valley School District,city,Community Events,Direct RSS Feed (/RSSFeed.aspx?ModID=58&MainCatID=1),Snoqualmie RSS Feed,rss,Yes,200,https://www.snoqualmiewa.gov/RSSFeed.aspx?ModID=58&MainCatID=1
Tukwila,King,Tukwila School District,city,Municipal RSS,Scraped RSS via homepage,Tukwila RSS Feed,rss,Yes,200,https://www.tukwilawa.gov/2212-2/feed/
Tukwila,King,Tukwila School District,city,Municipal RSS,Scraped RSS via homepage,Tukwila RSS Feed,rss,Yes,200,https://www.tukwilawa.gov/comments/feed/
Tukwila,King,Tukwila School District,city,Municipal RSS,Scraped RSS via /board,Tukwila RSS Feed,rss,Yes,200,https://www.tukwilawa.gov/event/board-commission-committee-applications-due/feed/
Tukwila,King,Tukwila School District,city,Municipal RSS,Scraped RSS via /events,Tukwila RSS Feed,rss,Yes,200,https://www.tukwilawa.gov/events/feed/
Tukwila,King,Tukwila School District,city,Municipal RSS,Scraped RSS via homepage,Tukwila RSS Feed,rss,Yes,200,https://www.tukwilawa.gov/feed/
Woodinville,King,Northshore School District,city,Video Stream,Discovered Granicus View ID 11,Woodinville Granicus Meeting Stream,granicus,Yes,200,https://www.woodinville.gov/163/Meetings-Agendas
Woodinville,King,Northshore School District,city,Municipal RSS,Direct RSS Feed (/RSSFeed.aspx?ModID=1&MainCatID=1),Woodinville RSS Feed,rss,Yes,200,https://www.woodinville.gov/RSSFeed.aspx?ModID=1&MainCatID=1
Woodinville,King,Northshore School District,city,Community Events,Direct RSS Feed (/RSSFeed.aspx?ModID=58&MainCatID=1),Woodinville RSS Feed,rss,Yes,200,https://www.woodinville.gov/RSSFeed.aspx?ModID=58&MainCatID=1
Yarrow Point,King,Bellevue School District,city,Municipal RSS,Scraped RSS via homepage,Yarrow Point RSS Feed,rss,Yes,200,https://yarrowpointwa.gov/comments/feed/
Yarrow Point,King,Bellevue School District,city,Municipal RSS,Scraped RSS via homepage,Yarrow Point RSS Feed,rss,Yes,200,https://yarrowpointwa.gov/feed/
Bothell,"King,Snohomish",Northshore School District,city,Municipal RSS,Direct RSS Feed (/RSSFeed.aspx?ModID=1&MainCatID=1),Bothell RSS Feed,rss,Yes,200,https://www.bothellwa.gov/RSSFeed.aspx?ModID=1&MainCatID=1
Bothell,"King,Snohomish",Northshore School District,city,Community Events,Direct RSS Feed (/RSSFeed.aspx?ModID=58&MainCatID=1),Bothell RSS Feed,rss,Yes,200,https://www.bothellwa.gov/RSSFeed.aspx?ModID=58&MainCatID=1
Arlington,Snohomish,Arlington School District,city,Municipal iCal,,Arlington iCal City Event Calendar Feed,ical,Yes,,https://www.arlingtonwa.gov/common/modules/iCalendar/iCalendar.aspx?catID=22&feed=calendar
Arlington,Snohomish,Arlington School District,city,Municipal RSS,Direct RSS Feed (/RSSFeed.aspx?ModID=1&MainCatID=1),Arlington RSS Feed,rss,Yes,200,https://www.arlingtonwa.gov/RSSFeed.aspx?ModID=1&MainCatID=1
Arlington,Snohomish,Arlington School District,city,Community Events,Direct RSS Feed (/RSSFeed.aspx?ModID=58&MainCatID=1),Arlington RSS Feed,rss,Yes,200,https://www.arlingtonwa.gov/RSSFeed.aspx?ModID=58&MainCatID=1
Arlington,Snohomish,Arlington School District,city,Video Stream,Discovered Swagit Vendor Subdomain Matrix,Arlington Swagit Meeting Portal,swagit,Yes,200,https://arlingtonwa.new.swagit.com
Arlington,Snohomish,Arlington School District,city,Video Stream,Discovered Swagit Vendor Subdomain Matrix,Arlington Swagit Meeting Portal,swagit,Yes,200,https://arlingtonwa.swagit.com
Darrington,Snohomish,Darrington School District,city,Municipal RSS,Scraped RSS via /events,Darrington RSS Feed,rss,Yes,200,https://townofdarrington.com/events/feed/
Darrington,Snohomish,Darrington School District,city,Municipal RSS,Scraped RSS via homepage,Darrington RSS Feed,rss,Yes,200,https://townofdarrington.com/feed/
Edmonds,Snohomish,Edmonds School District,school,News Feed,Direct RSS Feed (/rss.cfm?news=0),Edmonds School District RSS Feed,rss,Yes,200,https://www.edmonds.wednet.edu/rss.cfm?news=0
Edmonds,Snohomish,Edmonds School District,city,Video Stream,Discovered Swagit Vendor Subdomain Matrix,Edmonds Swagit Meeting Portal,swagit,Yes,200,https://edmondssd.new.swagit.com
Everett,Snohomish,Everett School District,city,Video Stream,Targeted Override (GRANICUS),Everett Official Granicus Portal,granicus,Yes,200,https://everett.granicus.com/ViewPublisher.php?view_id=2
Everett,Snohomish,Everett School District,city,Municipal RSS,Direct RSS Feed (/RSSFeed.aspx?ModID=1&MainCatID=1),Everett RSS Feed,rss,Yes,200,https://www.everettwa.gov/RSSFeed.aspx?ModID=1&MainCatID=1
