City,County,School District,Scope,Category,Notes,Feed Name,Feed Format,Valid,Status Code,Feed URL
Mercer Island,King,Mercer Island School District,city,Video Stream,Discovered Official YouTube Channel (@cityofmercerisland) [Live Stream & Embed URL],Mercer Island Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/channel/UCcI3rRK2kIn-H9Qd6FZEP7w
Mercer Island,King,Mercer Island School District,city,Video Stream,Discovered Official YouTube Channel (@cityofmercerisland) [Harvester Atom RSS Feed],Mercer Island Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/feeds/videos.xml?channel_id=UCcI3rRK2kIn-H9Qd6FZEP7w
Kent,King,Kent School District,school,Video Stream,Discovered Official YouTube Channel (@KentSchoolDistrictIT) [Live Stream & Embed URL],Kent School District Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/channel/UC2z8JWPppEQ_aNEN02WpvBw
Kent,King,Kent School District,school,Video Stream,Discovered Official YouTube Channel (@KentSchoolDistrictIT) [Harvester Atom RSS Feed],Kent School District Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/feeds/videos.xml?channel_id=UC2z8JWPppEQ_aNEN02WpvBw
Milton,King,Fife School District,city,Video Stream,Discovered Official YouTube Channel (@miltonwa) [Live Stream & Embed URL],Milton Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/channel/UC8_CcLLwFqWtFQuFFsVaO7g
Milton,King,Fife School District,city,Video Stream,Discovered Official YouTube Channel (@miltonwa) [Harvester Atom RSS Feed],Milton Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/feeds/videos.xml?channel_id=UC8_CcLLwFqWtFQuFFsVaO7g
Kenmore,King,Northshore School District,city,Video Stream,Discovered Official YouTube Channel () [Live Stream & Embed URL],Kenmore Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/channel/UC5M2Jyz38UIea_Q-RKXE0og
Kenmore,King,Northshore School District,city,Video Stream,Discovered Official YouTube Channel () [Harvester Atom RSS Feed],Kenmore Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/feeds/videos.xml?channel_id=UC5M2Jyz38UIea_Q-RKXE0og
Auburn,King,Auburn School District,city,Video Stream,Discovered Official YouTube Channel (@komonews) [Live Stream & Embed URL],Auburn Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/channel/UCQpj3Ocl_uy8IJzdX0O0-IA
Auburn,King,Auburn School District,city,Video Stream,Discovered Official YouTube Channel (@komonews) [Harvester Atom RSS Feed],Auburn Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/feeds/videos.xml?channel_id=UCQpj3Ocl_uy8IJzdX0O0-IA
Federal Way,King,Federal Way Public Schools,city,Video Stream,Discovered Official YouTube Channel (@FWYoutube) [Live Stream & Embed URL],Federal Way Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/channel/UCSKkw4enJGn9TuMfV3bQAbQ
Federal Way,King,Federal Way Public Schools,city,Video Stream,Discovered Official YouTube Channel (@FWYoutube) [Harvester Atom RSS Feed],Federal Way Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/feeds/videos.xml?channel_id=UCSKkw4enJGn9TuMfV3bQAbQ
Snoqualmie,King,Snoqualmie Valley School District,city,Video Stream,Discovered Official YouTube Channel (@UCagVMZC1tjIfayBZ-VthGUg) [Live Stream & Embed URL],Snoqualmie Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/channel/UCagVMZC1tjIfayBZ-VthGUg
Snoqualmie,King,Snoqualmie Valley School District,city,Video Stream,Discovered Official YouTube Channel (@UCagVMZC1tjIfayBZ-VthGUg) [Harvester Atom RSS Feed],Snoqualmie Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/feeds/videos.xml?channel_id=UCagVMZC1tjIfayBZ-VthGUg
Duvall,King,Riverview School District,city,Video Stream,Discovered Official YouTube Channel (@cityofduvallcouncil) [Live Stream & Embed URL],Duvall Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/channel/UCOqh4hSk3ltYCToqSLmU5qw
Duvall,King,Riverview School District,city,Video Stream,Discovered Official YouTube Channel (@cityofduvallcouncil) [Harvester Atom RSS Feed],Duvall Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/feeds/videos.xml?channel_id=UCOqh4hSk3ltYCToqSLmU5qw
Medina,King,Bellevue School District,school,Video Stream,Discovered Official YouTube Channel (@bsd405) [Live Stream & Embed URL],Bellevue School District Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/channel/UCb4Hoh9cTgXul7qYHH1nwmA
Medina,King,Bellevue School District,school,Video Stream,Discovered Official YouTube Channel (@bsd405) [Harvester Atom RSS Feed],Bellevue School District Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/feeds/videos.xml?channel_id=UCb4Hoh9cTgXul7qYHH1nwmA
Bothell,"King,Snohomish",Northshore School District,city,Video Stream,Discovered Official YouTube Channel (@UCcGJ_SkourBk4tv3DoF-tlg) [Live Stream & Embed URL],Bothell Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/channel/UCcGJ_SkourBk4tv3DoF-tlg
Bothell,"King,Snohomish",Northshore School District,city,Video Stream,Discovered Official YouTube Channel (@UCcGJ_SkourBk4tv3DoF-tlg) [Harvester Atom RSS Feed],Bothell Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/feeds/videos.xml?channel_id=UCcGJ_SkourBk4tv3DoF-tlg
Bothell,"King,Snohomish",Northshore School District,city,Video Stream,Discovered Official YouTube Channel (@UCy9QcHmduG-Ytnpx-mMDerQ) [Live Stream & Embed URL],Bothell Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/channel/UCy9QcHmduG-Ytnpx-mMDerQ
Bothell,"King,Snohomish",Northshore School District,city,Video Stream,Discovered Official YouTube Channel (@UCy9QcHmduG-Ytnpx-mMDerQ) [Harvester Atom RSS Feed],Bothell Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/feeds/videos.xml?channel_id=UCy9QcHmduG-Ytnpx-mMDerQ
Arlington,Snohomish,Arlington School District,school,Video Stream,Discovered Official YouTube Channel (@UCRj68uITGif4eLk-RkC5CIQ) [Live Stream & Embed URL],Arlington School District Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/channel/UCRj68uITGif4eLk-RkC5CIQ
Arlington,Snohomish,Arlington School District,school,Video Stream,Discovered Official YouTube Channel (@UCRj68uITGif4eLk-RkC5CIQ) [Harvester Atom RSS Feed],Arlington School District Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/feeds/videos.xml?channel_id=UCRj68uITGif4eLk-RkC5CIQ
Sammamish,King,"Lake Washington School District,Issaquah School District",city,Video Stream,Discovered Official YouTube Channel (@Sammamish) [Live Stream & Embed URL],Sammamish Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/channel/UCouPqQz1MSudhAdgiriLC8A
Sammamish,King,"Lake Washington School District,Issaquah School District",city,Video Stream,Discovered Official YouTube Channel (@Sammamish) [Harvester Atom RSS Feed],Sammamish Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/feeds/videos.xml?channel_id=UCouPqQz1MSudhAdgiriLC8A
Renton,King,Renton School District,city,Video Stream,Targeted Override (YOUTUBE) [Live Stream & Embed URL],Renton Official Youtube Portal,youtube_channel,Yes,200,https://www.youtube.com/channel/UCAC5yq7FaxCD_ARYAhKnYKg
Renton,King,Renton School District,city,Video Stream,Targeted Override (YOUTUBE) [Harvester Atom RSS Feed],Renton Official Youtube Portal,youtube_channel,Yes,200,https://www.youtube.com/feeds/videos.xml?channel_id=UCAC5yq7FaxCD_ARYAhKnYKg
Woodinville,King,Northshore School District,city,Video Stream,Discovered Official YouTube Channel (@woodinvillegov) [Live Stream & Embed URL],Woodinville Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/channel/UCtGO2VKHr22rHNEzTLFV06Q
Woodinville,King,Northshore School District,city,Video Stream,Discovered Official YouTube Channel (@woodinvillegov) [Harvester Atom RSS Feed],Woodinville Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/feeds/videos.xml?channel_id=UCtGO2VKHr22rHNEzTLFV06Q
Granite Falls,Snohomish,Granite Falls School District,school,Video Stream,Discovered Official YouTube Channel (@UCWA7zwUNVfXK1OXiZLcuVcQ) [Live Stream & Embed URL],Granite Falls School District Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/channel/UCWA7zwUNVfXK1OXiZLcuVcQ
Granite Falls,Snohomish,Granite Falls School District,school,Video Stream,Discovered Official YouTube Channel (@UCWA7zwUNVfXK1OXiZLcuVcQ) [Harvester Atom RSS Feed],Granite Falls School District Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/feeds/videos.xml?channel_id=UCWA7zwUNVfXK1OXiZLcuVcQ
SeaTac,King,Highline School District,city,Video Stream,Targeted Override (YOUTUBE) [Live Stream & Embed URL],SeaTac Official Youtube Portal,youtube_channel,Yes,200,https://www.youtube.com/channel/UCNPgivLDb5P9_J78VG3M9UQ
SeaTac,King,Highline School District,city,Video Stream,Targeted Override (YOUTUBE) [Harvester Atom RSS Feed],SeaTac Official Youtube Portal,youtube_channel,Yes,200,https://www.youtube.com/feeds/videos.xml?channel_id=UCNPgivLDb5P9_J78VG3M9UQ
Arlington,Snohomish,Arlington School District,city,Video Stream,Discovered Official YouTube Channel (@UC7CKyaKxa00Kwn7du7KqkxQ) [Live Stream & Embed URL],Arlington Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/channel/UC7CKyaKxa00Kwn7du7KqkxQ
Arlington,Snohomish,Arlington School District,city,Video Stream,Discovered Official YouTube Channel (@UC7CKyaKxa00Kwn7du7KqkxQ) [Harvester Atom RSS Feed],Arlington Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/feeds/videos.xml?channel_id=UC7CKyaKxa00Kwn7du7KqkxQ
Snoqualmie,King,Snoqualmie Valley School District,school,Video Stream,Discovered Official YouTube Channel (@snoqualmievalleyschooldist7611) [Live Stream & Embed URL],Snoqualmie Valley School District Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/channel/UCHnEYnLrt4fKYFt4ye02mbw
Snoqualmie,King,Snoqualmie Valley School District,school,Video Stream,Discovered Official YouTube Channel (@snoqualmievalleyschooldist7611) [Harvester Atom RSS Feed],Snoqualmie Valley School District Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/feeds/videos.xml?channel_id=UCHnEYnLrt4fKYFt4ye02mbw
Snoqualmie,King,Snoqualmie Valley School District,city,Video Stream,Discovered Official YouTube Channel (@SnoqualmieCityGovt) [Live Stream & Embed URL],Snoqualmie Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/channel/UCagVMZC1tjIfayBZ-VthGUg
Snoqualmie,King,Snoqualmie Valley School District,city,Video Stream,Discovered Official YouTube Channel (@SnoqualmieCityGovt) [Harvester Atom RSS Feed],Snoqualmie Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/feeds/videos.xml?channel_id=UCagVMZC1tjIfayBZ-VthGUg
Shoreline,King,Shoreline School District,city,Video Stream,Targeted Override (YOUTUBE) [Live Stream & Embed URL],Shoreline Official Youtube Portal,youtube_channel,Yes,200,https://www.youtube.com/channel/UC6DYg7XNsHqoM9z7Xu_NCrg
Shoreline,King,Shoreline School District,city,Video Stream,Targeted Override (YOUTUBE) [Harvester Atom RSS Feed],Shoreline Official Youtube Portal,youtube_channel,Yes,200,https://www.youtube.com/feeds/videos.xml?channel_id=UC6DYg7XNsHqoM9z7Xu_NCrg
Marysville,Snohomish,Marysville School District,school,Video Stream,Discovered Official YouTube Channel (@UCwkK1wAI6p7JJK3_-ExF2Ng) [Live Stream & Embed URL],Marysville School District Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/channel/UCwkK1wAI6p7JJK3_-ExF2Ng
Marysville,Snohomish,Marysville School District,school,Video Stream,Discovered Official YouTube Channel (@UCwkK1wAI6p7JJK3_-ExF2Ng) [Harvester Atom RSS Feed],Marysville School District Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/feeds/videos.xml?channel_id=UCwkK1wAI6p7JJK3_-ExF2Ng
Bothell,"King,Snohomish",Northshore School District,city,Video Stream,Discovered Official YouTube Channel (@CityofBothell) [Live Stream & Embed URL],Bothell Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/channel/UCcGJ_SkourBk4tv3DoF-tlg
Bothell,"King,Snohomish",Northshore School District,city,Video Stream,Discovered Official YouTube Channel (@CityofBothell) [Harvester Atom RSS Feed],Bothell Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/feeds/videos.xml?channel_id=UCcGJ_SkourBk4tv3DoF-tlg
Seattle,King,Seattle Public Schools,school,Video Stream,Discovered Official YouTube Channel (@SeattlePublicSchoolsTV) [Live Stream & Embed URL],Seattle Public Schools Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/channel/UCbWeZY-zLJIpQG-xsJ1Xy2Q
Seattle,King,Seattle Public Schools,school,Video Stream,Discovered Official YouTube Channel (@SeattlePublicSchoolsTV) [Harvester Atom RSS Feed],Seattle Public Schools Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/feeds/videos.xml?channel_id=UCbWeZY-zLJIpQG-xsJ1Xy2Q
Darrington,Snohomish,Darrington School District,school,Video Stream,Discovered Official YouTube Channel (@DarringtonSchoolDistrict) [Live Stream & Embed URL],Darrington School District Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/channel/UCPwlM9t7XAgWbS_Kqt5buTQ
Darrington,Snohomish,Darrington School District,school,Video Stream,Discovered Official YouTube Channel (@DarringtonSchoolDistrict) [Harvester Atom RSS Feed],Darrington School District Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/feeds/videos.xml?channel_id=UCPwlM9t7XAgWbS_Kqt5buTQ
Everett,Snohomish,Everett School District,city,Video Stream,Discovered Official YouTube Channel (@TheCityofEverett) [Live Stream & Embed URL],Everett Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/channel/UCALQhZZdpFlOSnfZveN0tlQ
Everett,Snohomish,Everett School District,city,Video Stream,Discovered Official YouTube Channel (@TheCityofEverett) [Harvester Atom RSS Feed],Everett Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/feeds/videos.xml?channel_id=UCALQhZZdpFlOSnfZveN0tlQ
Lynnwood,Snohomish,Edmonds School District,school,Video Stream,Discovered Official YouTube Channel (@EdmondsSD) [Live Stream & Embed URL],Edmonds School District Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/channel/UC0bC2uPuTGZrThIBIQjc-aA
Lynnwood,Snohomish,Edmonds School District,school,Video Stream,Discovered Official YouTube Channel (@EdmondsSD) [Harvester Atom RSS Feed],Edmonds School District Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/feeds/videos.xml?channel_id=UC0bC2uPuTGZrThIBIQjc-aA
Marysville,Snohomish,Marysville School District,school,Video Stream,Discovered Official YouTube Channel (@marysvillesd) [Live Stream & Embed URL],Marysville School District Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/channel/UCwkK1wAI6p7JJK3_-ExF2Ng
Marysville,Snohomish,Marysville School District,school,Video Stream,Discovered Official YouTube Channel (@marysvillesd) [Harvester Atom RSS Feed],Marysville School District Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/feeds/videos.xml?channel_id=UCwkK1wAI6p7JJK3_-ExF2Ng
Mukilteo,Snohomish,Mukilteo School District,city,Video Stream,Discovered Official YouTube Channel (@cityofmukilteowa) [Live Stream & Embed URL],Mukilteo Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/channel/UCbS8hcIPsyF_GP8_c9U6QtQ
Mukilteo,Snohomish,Mukilteo School District,city,Video Stream,Discovered Official YouTube Channel (@cityofmukilteowa) [Harvester Atom RSS Feed],Mukilteo Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/feeds/videos.xml?channel_id=UCbS8hcIPsyF_GP8_c9U6QtQ
Monroe,Snohomish,Monroe School District,city,Video Stream,Discovered Official YouTube Channel (@MonroeWA) [Live Stream & Embed URL],Monroe Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/channel/UC1W79EQInShzhg4RsJH6Ahw
Monroe,Snohomish,Monroe School District,city,Video Stream,Discovered Official YouTube Channel (@MonroeWA) [Harvester Atom RSS Feed],Monroe Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/feeds/videos.xml?channel_id=UC1W79EQInShzhg4RsJH6Ahw
Mukilteo,Snohomish,Mukilteo School District,school,Video Stream,Discovered Official YouTube Channel (@MukilteoSchoolDistrict) [Live Stream & Embed URL],Mukilteo School District Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/channel/UCHUDgNslCsclnXWT8CCN6jg
Mukilteo,Snohomish,Mukilteo School District,school,Video Stream,Discovered Official YouTube Channel (@MukilteoSchoolDistrict) [Harvester Atom RSS Feed],Mukilteo School District Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/feeds/videos.xml?channel_id=UCHUDgNslCsclnXWT8CCN6jg
Marysville,Snohomish,Marysville School District,city,Video Stream,Discovered Official YouTube Channel (@CityofMarysvilleWA) [Live Stream & Embed URL],Marysville Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/channel/UCF0ZSamQMXlx0p3Tio9rUVQ
Marysville,Snohomish,Marysville School District,city,Video Stream,Discovered Official YouTube Channel (@CityofMarysvilleWA) [Harvester Atom RSS Feed],Marysville Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/feeds/videos.xml?channel_id=UCF0ZSamQMXlx0p3Tio9rUVQ
Marysville,Snohomish,Marysville School District,school,Video Stream,Discovered Official YouTube Channel (@tulaliptv) [Live Stream & Embed URL],Marysville School District Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/channel/UCaJY83XSpgbbQ8LY5TzQaPw
Marysville,Snohomish,Marysville School District,school,Video Stream,Discovered Official YouTube Channel (@tulaliptv) [Harvester Atom RSS Feed],Marysville School District Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/feeds/videos.xml?channel_id=UCaJY83XSpgbbQ8LY5TzQaPw
